,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,avg_first_3,avg_last_3,delta_bw,groupn,sex,sucrose,diet,color
0,B3202,20.2,20.9,21.0,21.9,22.4,22.9,22.1,22.2,23.2,23.2,22.6,23.1,23.5,25.5,25.9,25.9,25.4,26.7,26.9,27.8,27.8,29.5,30.3,30.8,31.6,31.6,31.8,31.9,20.7,31.76666666666667,11.06666666666667,1,female,No,control,silver
1,B3203,20.9,22.5,22.4,23.3,23.8,23.9,25.2,24.3,25.3,26.2,25.8,27.1,27.1,27.9,28.1,28.3,29.5,31.2,32.4,33.3,33.5,34.4,34.7,35.5,36.2,35.9,37.8,37.3,21.933333333333334,37.0,15.066666666666666,3,female,No,experimental,blue
2,B3204,20.4,20.2,20.6,21.2,21.4,21.1,21.3,21.2,20.9,21.0,21.0,21.8,21.4,21.5,21.7,22.0,21.7,22.2,22.5,23.0,22.5,23.1,23.3,23.6,23.8,23.3,24.2,24.5,20.400000000000002,24.0,3.599999999999998,3,female,No,experimental,blue
3,B3205,20.2,20.3,21.0,21.5,21.7,22.2,22.3,22.5,22.8,23.1,22.7,23.3,22.6,24.1,23.1,23.5,24.0,24.5,24.4,24.8,25.3,25.9,25.1,25.7,26.4,26.4,27.1,27.9,20.5,27.133333333333336,6.633333333333336,1,female,No,control,silver
4,B3206,19.4,20.5,21.3,22.2,21.6,21.5,20.8,20.4,21.2,20.8,21.0,21.8,21.6,22.0,21.3,22.0,22.1,22.3,22.1,22.9,23.4,23.3,23.3,22.7,23.5,23.4,23.6,24.3,20.400000000000002,23.76666666666667,3.366666666666667,1,female,No,control,silver
5,B3207,21.3,21.1,21.6,22.1,22.1,22.4,22.7,21.9,22.7,23.1,22.1,22.8,23.2,24.6,23.6,24.0,24.8,25.7,25.8,26.1,26.6,26.7,27.4,28.1,28.8,29.3,29.0,29.9,21.333333333333332,29.400000000000002,8.06666666666667,3,female,No,experimental,blue
6,B3208,21.7,22.4,23.0,22.7,23.0,22.5,22.7,23.5,23.8,23.6,24.4,25.7,25.0,25.9,25.5,26.4,26.8,28.0,29.4,30.0,30.5,31.1,31.5,32.4,31.8,31.9,33.4,34.5,22.366666666666664,33.26666666666667,10.90000000000001,3,female,No,experimental,blue
7,B3209,19.4,19.7,20.0,20.7,21.5,21.7,21.6,21.8,22.2,22.0,22.1,23.1,23.7,23.9,22.9,23.6,24.3,24.8,25.0,25.5,26.1,27.0,26.8,27.0,26.7,27.8,27.9,28.6,19.7,28.099999999999998,8.399999999999999,0,female,Yes,control,black
8,B3210,22.2,22.3,22.5,22.8,22.8,23.4,23.2,24.3,24.6,25.0,25.5,25.7,25.9,26.5,26.7,27.1,28.5,28.9,29.1,29.9,31.0,32.0,32.2,32.4,32.8,34.4,34.1,35.0,22.333333333333332,34.5,12.166666666666668,0,female,Yes,control,black
9,B3211,21.0,20.7,21.4,22.0,21.8,22.4,21.9,22.2,22.7,21.9,22.3,22.0,21.5,22.2,22.4,22.4,23.8,22.4,22.8,23.0,22.8,22.9,23.5,23.0,23.1,23.5,23.3,23.5,21.03333333333333,23.433333333333334,2.400000000000002,1,female,No,control,silver
