,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12
0,B3202,2.4333333333333322,2.8333333333333335,2.900000000000001,3.0333333333333314,2.900000000000001,3.133333333333333,2.599999999999999,2.9333333333333336,2.8999999999999986,2.7333333333333343,2.4999999999999982,2.7000000000000006,2.5999999999999996,3.4333333333333322,3.0666666666666678,2.7666666666666657,2.5000000000000013,3.133333333333333,3.1666666666666665,3.2000000000000006,2.8333333333333335,3.7666666666666657,3.2000000000000006,3.2000000000000006,3.433333333333337,2.599999999999999,2.866666666666665,2.6666666666666665,female,No,control,2.9,2.8285714285714283,2.9523809523809526,3.104761904761905
1,B3203,2.633333333333335,2.849999999999999,2.866666666666667,2.883333333333333,2.883333333333334,2.8333333333333335,2.816666666666665,2.7333333333333343,2.75,2.933333333333335,2.566666666666665,2.75,2.6,3.0,2.4500000000000006,2.5666666666666664,2.9166666666666665,3.0333333333333337,3.1000000000000014,2.8999999999999986,2.516666666666667,2.85,2.75,2.900000000000001,2.733333333333333,2.4666666666666663,3.183333333333335,2.6666666666666665,female,No,experimental,2.8555555555555556,2.7619047619047623,2.7833333333333337,2.792857142857143
2,B3204,2.633333333333335,2.849999999999999,2.866666666666667,2.883333333333333,2.883333333333334,2.8333333333333335,2.816666666666665,2.7333333333333343,2.75,2.933333333333335,2.566666666666665,2.75,2.6,3.0,2.4500000000000006,2.5666666666666664,2.9166666666666665,3.0333333333333337,3.1000000000000014,2.8999999999999986,2.516666666666667,2.85,2.75,2.900000000000001,2.733333333333333,2.4666666666666663,3.183333333333335,2.6666666666666665,female,No,experimental,2.8555555555555556,2.7619047619047623,2.7833333333333337,2.792857142857143
3,B3205,2.800000000000002,2.9666666666666663,3.133333333333333,3.133333333333333,3.0666666666666678,3.1999999999999993,3.000000000000002,3.1666666666666665,2.8333333333333335,3.1666666666666665,2.933333333333335,3.066666666666665,2.8333333333333344,3.633333333333333,2.633333333333335,3.066666666666665,3.1666666666666665,3.0333333333333337,3.0,3.099999999999999,2.933333333333335,3.3333333333333335,2.7000000000000006,2.9666666666666663,3.133333333333335,2.833333333333332,3.3333333333333335,3.2333333333333343,female,No,control,3.083333333333334,3.090476190476191,2.9904761904761905,3.0761904761904764
4,B3206,2.633333333333335,2.9666666666666686,3.1333333333333306,2.900000000000001,2.9666666666666663,2.866666666666667,2.5333333333333363,2.6333333333333306,2.766666666666668,2.7000000000000006,2.8333333333333335,2.7999999999999994,2.4666666666666663,2.7333333333333343,2.4333333333333322,2.7432098765432102,2.599999999999999,2.6000000000000014,2.599999999999999,2.8666666666666694,2.733333333333332,2.8333333333333335,2.6666666666666665,2.5666666666666678,2.933333333333335,2.599999999999999,2.6666666666666665,3.0333333333333337,female,No,control,2.8944444444444453,2.704761904761905,2.6537918871252204,2.7571428571428576
5,B3207,3.0333333333333314,3.133333333333335,2.9333333333333322,2.866666666666667,3.0,3.0,3.0333333333333337,2.6666666666666656,2.866666666666665,2.9666666666666663,2.5,2.766666666666667,2.866666666666667,3.3666666666666694,2.3999999999999986,2.766666666666668,2.9666666666666663,3.099999999999999,2.7000000000000006,2.8333333333333335,2.8999999999999986,2.766666666666668,3.0,2.933333333333335,3.0333333333333337,2.8333333333333335,2.5333333333333328,3.199999999999998,female,No,experimental,2.994444444444445,2.857142857142857,2.8095238095238093,2.9
6,B3208,3.0,3.599999999999999,3.366666666666665,3.2333333333333343,3.0666666666666664,3.133333333333335,3.2333333333333343,3.366666666666665,3.300000000000002,3.133333333333333,3.2000000000000006,3.633333333333335,3.0,3.0666666666666678,2.7666666666666657,3.266666666666668,3.366666666666667,3.2666666666666657,3.6,3.5,3.199999999999998,3.2333333333333343,3.2000000000000006,3.633333333333335,2.6666666666666665,2.833333333333332,3.633333333333335,3.4666666666666663,female,No,experimental,3.2722222222222226,3.2428571428571433,3.280952380952381,3.238095238095238
7,B3209,2.3333333333333335,2.5666666666666678,1.1999999999999982,1.8000000000000018,1.6999999999999982,1.4333333333333347,1.4666666666666661,1.2999999999999996,1.2333333333333343,0.8666666666666659,1.0333333333333339,1.3333333333333333,1.2666666666666657,1.2000000000000004,0.6333333333333329,1.2666666666666682,1.1999999999999982,1.4666666666666686,1.099999999999999,1.4333333333333347,1.4666666666666661,1.400000000000001,1.099999999999999,1.2333333333333343,0.9666666666666662,1.6333333333333329,1.2999999999999996,1.7999999999999996,female,Yes,control,1.6944444444444446,1.1761904761904762,1.2238095238095241,1.3476190476190475
8,B3210,2.9666666666666686,3.066666666666665,1.2999999999999996,0.8333333333333334,1.2666666666666682,1.2000000000000004,1.1333333333333329,1.3999999999999986,1.2000000000000004,1.0333333333333339,1.2333333333333343,1.099999999999999,1.1666666666666667,1.6333333333333329,0.7333333333333343,1.2999999999999996,1.3666666666666671,1.4666666666666661,1.1666666666666667,1.3333333333333333,1.6999999999999982,1.6333333333333353,1.3999999999999986,1.3333333333333333,1.4666666666666661,1.900000000000001,1.7000000000000004,1.7666666666666682,female,Yes,control,1.4666666666666666,1.2523809523809522,1.2952380952380953,1.6000000000000003
9,B3211,3.0,3.0833333333333335,3.133333333333334,2.983333333333333,2.9666666666666663,3.0500000000000007,3.0666666666666664,3.1000000000000014,2.9666666666666663,2.7999999999999994,3.0833333333333335,3.016666666666667,2.866666666666667,3.150000000000001,2.9166666666666665,3.0333333333333328,2.9333333333333336,3.066666666666665,2.9500000000000006,2.9166666666666665,3.1833333333333322,2.9333333333333336,2.883333333333333,3.099999999999999,2.85,3.0,2.733333333333333,2.6999999999999993,female,No,control,3.0472222222222225,2.9976190476190476,2.9999999999999996,2.8857142857142857
