,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,1_week 1-3,1_week 4-6,1_week 7-9,1_week 10-12
0,B3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
1,B3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
2,B3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
3,B3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
4,B3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
5,B3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
6,B3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
7,B3209,7.176799999999999,7.176799999999999,5.5,6.966666666666666,6.7,6.166666666666667,5.9333333333333345,6.333333333333333,6.633333333333333,7.933333333333333,6.966666666666666,6.966666666666666,7.633333333333334,7.519999999999999,7.0666666666666655,7.066666666666667,8.1,7.833333333333333,7.8999999999999995,7.033333333333331,7.366666666666667,8.1,7.599999999999999,7.6000000000000005,7.333333333333333,7.433333333333333,7.733333333333333,7.176799999999999,female,Yes,control,6.5171809523809525,7.14095238095238,7.480952380952381,7.568114285714286,0.15344057611821646,0.14003734329154444,0.1336728198599618,0.13213331118527355
8,B3210,7.721794871794872,7.721794871794872,7.0,6.5,8.533333333333333,7.9333333333333345,7.333333333333333,7.166666666666667,8.266666666666667,7.766666666666667,7.966666666666666,7.699999999999998,8.3,8.133333333333335,7.800000000000001,7.900000000000001,8.633333333333335,8.133333333333335,7.833333333333335,7.800000000000001,8.1,7.433333333333333,7.6000000000000005,8.366666666666667,7.766666666666666,6.933333333333333,7.3,6.5666666666666655,female,Yes,control,7.534798534798536,7.8999999999999995,8.028571428571428,7.423809523809522,0.1327175498298493,0.12658227848101267,0.12455516014234876,0.1347017318794099
9,B3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
10,B3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
11,B3213,6.732051282051282,6.732051282051282,5.0,6.100000000000001,6.833333333333333,7.3,6.433333333333333,6.633333333333333,5.133333333333333,6.0,6.266666666666668,6.266666666666668,7.033333333333334,7.0,7.366666666666667,6.833333333333333,7.033333333333334,7.100000000000001,7.8999999999999995,7.566666666666667,7.033333333333334,7.333333333333333,6.800000000000002,7.100000000000001,7.166666666666667,7.300000000000002,6.5666666666666655,5.9333333333333345,female,Yes,control,6.4472527472527466,6.333333333333334,7.261904761904764,6.885714285714286,0.15510482358956879,0.15789473684210525,0.13770491803278687,0.14522821576763484
12,B3214,7.023076923076923,7.023076923076923,2.9333333333333322,1.5666666666666675,4.099999999999999,5.0,5.333333333333333,5.899999999999999,7.300000000000002,5.733333333333334,7.133333333333333,8.433333333333332,7.9333333333333345,7.899999999999999,8.133333333333333,8.600000000000001,7.633333333333333,7.766666666666666,7.999999999999999,7.866666666666666,7.833333333333332,8.399999999999999,8.666666666666666,8.033333333333333,8.133333333333333,8.6,8.2,7.466666666666666,female,Yes,control,4.7113553113553115,7.190476190476191,7.976190476190476,8.214285714285714,0.21225314881044938,0.1390728476821192,0.1253731343283582,0.12173913043478261
13,B3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
14,B3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
15,B3217,6.370666666666668,6.370666666666668,3.2666666666666657,2.3333333333333335,6.370666666666668,5.2,6.066666666666667,6.233333333333334,7.366666666666667,7.233333333333334,7.5666666666666655,7.100000000000001,7.233333333333334,6.733333333333332,7.5,7.133333333333333,7.166666666666667,6.233333333333334,6.733333333333334,7.366666666666667,5.633333333333333,7.133333333333333,5.766666666666666,6.266666666666666,6.633333333333333,5.4333333333333345,8.266666666666667,5.666666666666667,female,Yes,control,5.139809523809524,7.066666666666667,6.823809523809524,6.452380952380952,0.1945597391046546,0.14150943396226415,0.14654570830425678,0.15498154981549817
16,B3218,6.718666666666667,6.718666666666667,6.5,6.866666666666667,6.718666666666667,6.699999999999998,7.566666666666667,7.566666666666667,7.366666666666667,7.899999999999999,7.166666666666667,5.866666666666667,6.833333333333333,6.8,7.266666666666668,8.200000000000001,6.599999999999999,7.0,6.666666666666667,6.833333333333333,5.5,5.5666666666666655,5.033333333333334,6.5,7.033333333333334,5.833333333333333,6.599999999999999,6.199999999999998,female,Yes,control,6.827047619047619,7.071428571428571,6.866666666666666,6.109523809523809,0.14647620110484907,0.1414141414141414,0.14563106796116507,0.1636788776305534
17,B3219,5.179487179487179,5.179487179487179,5.400000000000001,6.0666666666666655,4.066666666666667,5.966666666666666,5.833333333333333,4.666666666666667,5.166666666666667,4.899999999999999,4.933333333333333,5.0666666666666655,5.966666666666666,5.0,4.900000000000001,5.533333333333334,4.833333333333333,4.3666666666666645,4.900000000000001,4.966666666666666,5.066666666666667,6.2,5.633333333333333,4.600000000000001,4.533333333333334,5.233333333333332,4.666666666666667,6.2,female,Yes,experimental,5.384615384615385,5.1000000000000005,4.938095238095238,5.295238095238096,0.1857142857142857,0.196078431372549,0.20250723240115717,0.18884892086330932
18,B3220,7.31923076923077,7.31923076923077,5.766666666666666,6.166666666666667,6.8,8.566666666666666,7.5,8.933333333333334,8.299999999999999,8.833333333333332,8.5,8.266666666666666,9.0,8.066666666666668,8.466666666666667,7.866666666666667,8.066666666666668,8.4,7.466666666666666,8.033333333333333,7.633333333333333,6.699999999999998,5.733333333333334,7.066666666666667,7.466666666666668,4.9333333333333345,3.633333333333333,4.133333333333333,female,Yes,experimental,7.062637362637362,8.557142857142855,7.990476190476191,5.666666666666666,0.1415901664851408,0.11686143572621038,0.12514898688915374,0.17647058823529413
19,B3221,7.064102564102564,7.064102564102564,6.466666666666669,6.400000000000001,6.533333333333331,8.333333333333334,7.8,7.966666666666668,8.066666666666668,8.1,7.9333333333333345,7.233333333333334,7.766666666666666,6.866666666666667,7.533333333333334,4.7,7.399999999999999,6.933333333333333,7.366666666666667,7.033333333333334,6.266666666666666,7.4333333333333345,5.833333333333333,7.0666666666666655,6.633333333333333,6.433333333333333,6.166666666666667,7.400000000000001,female,Yes,experimental,7.094505494505495,7.704761904761907,6.747619047619047,6.709523809523809,0.1409541511771995,0.12978986402966622,0.14820042342978124,0.149041873669269
20,B3222,8.334615384615384,8.334615384615384,7.3,8.366666666666667,9.0,8.966666666666667,8.533333333333333,8.566666666666668,8.299999999999999,8.7,8.666666666666666,8.333333333333332,8.399999999999999,7.566666666666667,7.1333333333333355,8.366666666666667,8.366666666666665,7.666666666666667,9.233333333333333,8.700000000000001,8.299999999999999,8.3,8.433333333333332,8.966666666666667,8.333333333333334,7.5,8.366666666666665,8.333333333333334,female,Yes,experimental,8.405128205128205,8.361904761904762,8.252380952380951,8.31904761904762,0.11897498474679682,0.11958997722095671,0.12117714945181766,0.12020606754436175
21,B3223,5.714102564102564,5.714102564102564,6.2,7.266666666666668,6.733333333333334,7.0,7.233333333333334,7.533333333333334,6.933333333333333,7.066666666666667,7.466666666666666,6.0666666666666655,6.566666666666667,5.333333333333333,6.933333333333333,5.433333333333333,5.266666666666668,5.533333333333334,5.100000000000001,4.266666666666666,4.133333333333333,4.766666666666668,4.766666666666668,4.333333333333333,3.4666666666666663,3.2333333333333343,3.8333333333333335,6.099999999999999,female,Yes,experimental,6.551648351648352,6.70952380952381,5.238095238095239,4.357142857142857,0.1526333445152633,0.149041873669269,0.19090909090909086,0.2295081967213115
